Height: 312, TxCount: 30, E2E_TPS: 257.84, Pure_TPS: 251.68, Submit_TPS: 133.61, TotalTxs: 26400, TotalBlocks: 313
Height: 313, TxCount: 30, E2E_TPS: 256.53, Pure_TPS: 250.44, Submit_TPS: 133.36, TotalTxs: 26430, TotalBlocks: 314
Height: 314, TxCount: 30, E2E_TPS: 256.06, Pure_TPS: 250.00, Submit_TPS: 133.55, TotalTxs: 26460, TotalBlocks: 315
Height: 315, TxCount: 30, E2E_TPS: 256.30, Pure_TPS: 250.23, Submit_TPS: 133.52, TotalTxs: 26490, TotalBlocks: 316
Height: 316, TxCount: 30, E2E_TPS: 256.55, Pure_TPS: 250.48, Submit_TPS: 133.50, TotalTxs: 26520, TotalBlocks: 317
Height: 317, TxCount: 0, E2E_TPS: 256.46, Pure_TPS: 250.39, Submit_TPS: 133.45, TotalTxs: 26520, TotalBlocks: 318
Height: 318, TxCount: 0, E2E_TPS: 256.29, Pure_TPS: 250.23, Submit_TPS: 133.36, TotalTxs: 26520, TotalBlocks: 319
Height: 319, TxCount: 30, E2E_TPS: 256.48, Pure_TPS: 250.42, Submit_TPS: 133.31, TotalTxs: 26550, TotalBlocks: 320
Height: 320, TxCount: 0, E2E_TPS: 255.76, Pure_TPS: 249.73, Submit_TPS: 133.52, TotalTxs: 26550, TotalBlocks: 321
Height: 321, TxCount: 0, E2E_TPS: 255.61, Pure_TPS: 249.59, Submit_TPS: 133.44, TotalTxs: 26550, TotalBlocks: 322
Height: 322, TxCount: 0, E2E_TPS: 253.94, Pure_TPS: 248.00, Submit_TPS: 133.14, TotalTxs: 26550, TotalBlocks: 323
Height: 323, TxCount: 0, E2E_TPS: 253.88, Pure_TPS: 247.94, Submit_TPS: 133.11, TotalTxs: 26550, TotalBlocks: 324
Height: 324, TxCount: 0, E2E_TPS: 253.79, Pure_TPS: 247.86, Submit_TPS: 133.06, TotalTxs: 26550, TotalBlocks: 325
Height: 325, TxCount: 30, E2E_TPS: 252.65, Pure_TPS: 246.78, Submit_TPS: 132.89, TotalTxs: 26580, TotalBlocks: 326
Height: 326, TxCount: 30, E2E_TPS: 252.59, Pure_TPS: 246.72, Submit_TPS: 132.70, TotalTxs: 26610, TotalBlocks: 327
Height: 327, TxCount: 0, E2E_TPS: 252.52, Pure_TPS: 246.65, Submit_TPS: 132.66, TotalTxs: 26610, TotalBlocks: 328
Height: 328, TxCount: 30, E2E_TPS: 252.77, Pure_TPS: 246.90, Submit_TPS: 132.65, TotalTxs: 26640, TotalBlocks: 329
Height: 329, TxCount: 0, E2E_TPS: 252.13, Pure_TPS: 246.29, Submit_TPS: 132.88, TotalTxs: 26640, TotalBlocks: 330
Height: 330, TxCount: 30, E2E_TPS: 252.35, Pure_TPS: 246.51, Submit_TPS: 132.85, TotalTxs: 26670, TotalBlocks: 331
Height: 331, TxCount: 30, E2E_TPS: 252.56, Pure_TPS: 246.71, Submit_TPS: 132.80, TotalTxs: 26700, TotalBlocks: 332
Height: 332, TxCount: 30, E2E_TPS: 252.76, Pure_TPS: 246.91, Submit_TPS: 132.76, TotalTxs: 26730, TotalBlocks: 333
Height: 333, TxCount: 30, E2E_TPS: 252.89, Pure_TPS: 247.04, Submit_TPS: 132.68, TotalTxs: 26760, TotalBlocks: 334
Height: 334, TxCount: 0, E2E_TPS: 252.84, Pure_TPS: 246.99, Submit_TPS: 132.66, TotalTxs: 26760, TotalBlocks: 335
Height: 335, TxCount: 30, E2E_TPS: 253.08, Pure_TPS: 247.23, Submit_TPS: 132.63, TotalTxs: 26790, TotalBlocks: 336
Height: 336, TxCount: 0, E2E_TPS: 253.05, Pure_TPS: 247.20, Submit_TPS: 132.62, TotalTxs: 26790, TotalBlocks: 337
Height: 337, TxCount: 30, E2E_TPS: 253.05, Pure_TPS: 247.21, Submit_TPS: 132.47, TotalTxs: 26820, TotalBlocks: 338
Height: 338, TxCount: 30, E2E_TPS: 253.11, Pure_TPS: 247.27, Submit_TPS: 132.35, TotalTxs: 26850, TotalBlocks: 339
